lat_grid,lon_grid,total_crashes,total_danger_score,avg_deaths,avg_injuries,avg_hour,avg_dayofweek,high_risk_label
30.126,-97.801,9,8,0.1111111111111111,0.3333333333333333,9.777777777777779,4.888888888888889,0
30.127,-97.802,12,1,0.0,0.08333333333333333,13.083333333333334,2.9166666666666665,0
30.127,-97.801,21,22,0.0,1.0476190476190477,13.523809523809524,3.1904761904761907,0
30.128,-97.801,10,8,0.0,0.8,10.8,3.7,0
30.128,-97.8,2,0,0.0,0.0,9.0,1.0,0
30.128,-97.799,1,0,0.0,0.0,8.0,5.0,0
30.129,-97.801,5,5,0.0,1.0,15.4,3.8,0
30.129,-97.8,13,10,0.0,0.7692307692307693,12.76923076923077,3.0,0
30.129,-97.779,2,1,0.0,0.5,8.5,4.0,0
30.13,-97.8,45,31,0.022222222222222223,0.5777777777777777,11.844444444444445,2.3555555555555556,0
30.13,-97.779,2,2,0.0,1.0,18.0,4.0,0
30.13,-97.778,1,0,0.0,0.0,13.0,4.0,0
30.13,-97.776,1,0,0.0,0.0,4.0,4.0,0
30.131,-97.8,19,14,0.0,0.7368421052631579,10.31578947368421,1.9473684210526316,0
30.131,-97.799,3,1,0.0,0.3333333333333333,12.333333333333334,2.6666666666666665,0
30.131,-97.78,1,0,0.0,0.0,11.0,6.0,0
30.131,-97.778,1,1,0.0,1.0,19.0,4.0,0
30.131,-97.776,1,0,0.0,0.0,22.0,2.0,0
30.132,-97.799,9,4,0.0,0.4444444444444444,9.555555555555555,2.7777777777777777,0
30.132,-97.793,1,0,0.0,0.0,15.0,3.0,0
30.132,-97.784,1,1,0.0,1.0,19.0,0.0,0
30.132,-97.778,1,0,0.0,0.0,0.0,1.0,0
30.132,-97.777,9,6,0.0,0.6666666666666666,13.333333333333334,3.111111111111111,0
30.133,-97.799,22,15,0.045454545454545456,0.45454545454545453,10.0,3.5,0
30.133,-97.796,1,3,0.0,3.0,21.0,4.0,0
30.133,-97.795,1,0,0.0,0.0,6.0,6.0,0
30.133,-97.788,3,4,0.0,1.3333333333333333,12.333333333333334,2.0,0
30.133,-97.779,1,1,0.0,1.0,16.0,1.0,0
30.134,-97.799,37,32,0.0,0.8648648648648649,14.162162162162161,2.675675675675676,0
30.134,-97.798,19,14,0.0,0.7368421052631579,15.473684210526315,2.8947368421052633,0
30.134,-97.792,1,0,0.0,0.0,12.0,2.0,0
30.134,-97.776,1,1,0.0,1.0,17.0,6.0,0
30.134,-97.646,1,2,0.0,2.0,6.0,3.0,0
30.135,-97.803,2,3,0.0,1.5,17.0,2.5,0
30.135,-97.799,1,0,0.0,0.0,1.0,1.0,0
30.135,-97.798,12,7,0.0,0.5833333333333334,14.583333333333334,3.0,0
30.135,-97.797,1,0,0.0,0.0,9.0,6.0,0
30.135,-97.793,1,1,0.0,1.0,19.0,1.0,0
30.135,-97.775,1,1,0.0,1.0,23.0,2.0,0
30.135,-97.763,1,0,0.0,0.0,5.0,4.0,0
30.135,-97.644,1,0,0.0,0.0,5.0,6.0,0
30.136,-97.798,51,31,0.0,0.6078431372549019,10.784313725490197,2.803921568627451,0
30.136,-97.797,8,6,0.0,0.75,12.625,2.75,0
30.136,-97.792,1,0,0.0,0.0,7.0,4.0,0
30.136,-97.775,1,0,0.0,0.0,7.0,6.0,0
30.136,-97.643,1,0,0.0,0.0,3.0,6.0,0
30.137,-97.798,33,26,0.0,0.7878787878787878,9.272727272727273,3.606060606060606,0
30.137,-97.797,106,64,0.0,0.6037735849056604,11.169811320754716,3.1226415094339623,1
