Primary address,Secondary address,lat_grid,lon_grid
10600 n ih 35 svrd,middle fiskville,30.37,-97.68
1000 s pleasant valley rd rd,1100 s lakeshore blvd,30.242,-97.717
600 w mlk jr blvd,rio grande st,30.283,-97.744
5500 e william cannon dr,s pleasant valley,30.178,-97.745
2200 s ih 35,riverside dr,30.251,-97.736
7900 research svrd nb,8000 n lamar blvd svrd nb,30.349,-97.714
blessing ave,e anderson ln,30.408,-97.745
9600 n research blvd,n loop 360,30.388,-97.745
10710 n burnet rd,2700 w braker ln,30.392,-97.722
5033 s mopac expy,not reported,30.235,-97.825
1100 e cesar chavez st,medina st,30.268,-97.758
6700 s 1st st,700 w william cannon dr,30.198,-97.787
11209 fm 2222,not reported,30.403,-97.853
n ih 35 nb fwy,e 11th st,30.27,-97.732
2020 w anderson ln,brockman st,30.329,-97.68
2400 rutland dr,mc kalla pl,30.382,-97.721
1600 w 5th st,500 campbell st,30.275,-97.765
6500 s 1st st,600 w william cannon dr,30.198,-97.788
lavaca st,w 4th st,30.267,-97.746
3500 red bud trl,stratford dr,30.291,-97.792
7200 manchaca rd,2100 matthews ln,30.2,-97.807
10700 n mopac expy,3600 w braker ln,30.397,-97.733
1046 gardner,mayhall dr,30.258,-97.683
5701 w slaughter ln,9200 beckett rd,30.201,-97.871
10200 n lake creek pkwy,n us 183 svrd nb hwy,30.462,-97.792
7200 fm 969,5100 johnny morris rd,30.282,-97.651
1100 airport blvd,3700 goodwin s curb line,30.265,-97.695
6020 e e koenig ln,6010 n n 35 svrd sb to koenig wb ramp,30.32,-97.712
4200 s lamar blvd,2400 w ben white hwy,30.233,-97.797
n research svrd nb blvd,payton gin rd,30.366,-97.718
7100 n farm to market 620 rd,11400 farm to market 2222 rd,30.404,-97.854
n ih 35 svrd sb,e rundberg ln,30.359,-97.689
600 e stassney ln,mira dr,30.2,-97.767
1600 n lamar blvd,w 24th st,30.283,-97.751
w slaughter ln,chisholm ln,30.174,-97.811
1200 e 7th st,600 waller st,30.265,-97.73
2900 e sh 71,lyle rd,30.209,-97.651
s not reported rd,not reported,30.205,-97.639
3600 s ih35 nb,woodland overpass,30.345,-97.697
112600 burnet rd,esperanza xing,30.398,-97.719
5811 mesa rd,mesa dr,30.344,-97.771
700 barton springs rd,s 1st st,30.259,-97.751
4000 n ih 35,wilshire blvd,30.297,-97.718
9200 e not reported,ferguson ctof,30.329,-97.652
9000 research blvd,burnet rd,30.371,-97.724
4300 n ih 35 nb,4400 airport blvd,30.301,-97.716
11300 not reported,700 e braker ln,30.376,-97.676
700 airport blvd,levander loop,30.253,-97.692
2400 s congress ave,100 e oltorf st,30.24,-97.753
14214 avery ranch blvd,quarry oaks trl,30.495,-97.788
1800 n ih 35 hwy,e mlk blvd,30.24,-97.738
s stassney ln,s pleasant valley rd,30.194,-97.745
7300 us 183 hwy,manor rd,30.317,-97.663
6000 pino ln,dove dr,30.189,-97.75
4810 s s fm 973 rd rd,10800 pearce ln ln,30.181,-97.647
13400 n n mopac expy,howard ln,30.436,-97.7
6800 loyola ln ln,hillcroft dr dr,30.299,-97.644
800 w w 3rd st st,west ave ave,30.268,-97.752
1000 w e 38th st st,medical pkwy,30.306,-97.744
2800 san gabrield st,900 w w 28th half st,30.294,-97.747
shady ln,bolm rd,30.26,-97.693
parkcrest dr,balcones dr,30.336,-97.759
rundberg ln ln,collinfield dr,30.365,-97.702
3800 w parmer ln,amherst dr,30.424,-97.712
5720 manchaca rd rd,w w stassney ln ln,30.214,-97.799
4800 n ih 35 sb,38th st,30.297,-97.718
14200 n us 183 hwy,11100 lakeline blvd,30.481,-97.804
800 san jacinto st,200 e 8th st,30.269,-97.74
11500 n ih 35 svrd sb,thrush ave,30.382,-97.674
2700 s capital of texas hwy,2700 walsh tarlton ln,30.258,-97.812
n mopac,35th st,30.308,-97.758
4100 red river st,e 40th st,30.298,-97.723
3800 guadalupe st st,3700 w w 38th st st,30.303,-97.738
4200 mc kinney falls pkwy,7600 burleson rd,30.192,-97.699
1000 e 11th st,1100 waller w curb line,30.27,-97.73
n lamar blvd,san gabriel st,30.294,-97.747
10000 n lake creek pkwy pkwy,13300 w n fm 620 rd nb rd,30.47,-97.79
windsor rd,hartford rd,30.292,-97.759
1300 w ben white blvd blvd,manchaca,30.229,-97.787
500 s mopac fwy,lake austin st,30.27,-97.777
1700 briarcliff blvd,6000 berkman dr,30.314,-97.693
2300 lake austin blvd,veterans dr,30.278,-97.772
3300 red bud trl,lake austin blvd,30.292,-97.787
3600 not reported,not reported,30.214,-97.753
2400 s 35 hwy,e oltorf st,30.232,-97.742
100 airport blvd,not reported,30.392,-97.747
9000 n ih 35 nb hwy,800 park plaza,30.354,-97.691
8200 georgian dr,powell ln,30.347,-97.703
2200 e ben white blvd wb,catalina dr,30.232,-97.792
7000 w 71 hwy,not reported,30.239,-97.88
2100 barton springs rd,lou neff rd,30.266,-97.768
3500 s capital of tx hwy,not reported,30.249,-97.805
900 bastrop hwy,patton ave,30.23,-97.683
1700 kemah dr,laredo dr,30.168,-97.825
1600 w parmer ln,metric blvd,30.414,-97.692
3100 s us 183 hwy sb,mccall ln,30.204,-97.683
12400 pearce ln,5600 las alas trl,30.172,-97.628
7700 w highway 290 hwy,n texas 69 spur,30.229,-97.884
0 e 290 wb to anderon wb rampe anderson ln,not reported,30.346,-97.707
4600 n n ih 35 nb hwy,e e 51st st st,30.311,-97.709
fm 969 rd,ed bluestein nb,30.286,-97.666
11309 el salido pkwy,bristle oak trl,30.455,-97.819
600 zennia st,5100 guadalupe st,30.319,-97.729
9800 n lake creek pkwy,9830 n lake creek pkwy,30.474,-97.794
n lamar blvd,st johns ave,30.339,-97.718
8th st,trinity st,30.269,-97.739
4300 e martin luther king jr blvd,1800 astor pl,30.285,-97.686
2800 s ih 35 expy,royal hill rd,30.227,-97.745
500 n ih 35 nb,e 6th st,30.265,-97.735
10800 n mopac expy,3800 w braker ln,30.398,-97.733
s mopac svrd sb loop,e william cannon dr,30.197,-97.788
e 6th st,navasota st,30.264,-97.728
e e us 290 hwy wb,e e anderson ln wb ln,30.322,-97.686
1900 n ih 35 fwy,e e martin luther king jr blvd,30.239,-97.739
4200 s ih 35,1000 e ben white blvd,30.213,-97.754
6100 e ben white blvd,3100 montopolis dr,30.212,-97.713
10600 w fm 2222 rd,s river place villige rou,30.395,-97.846
w rundberg ln,n lamar blvd,30.363,-97.697
1400 summit st,sunnyvale st,30.244,-97.734
4700 spicewood springs rd,8800 old lampassas trl,30.376,-97.763
8700 n fm 685 rd,boulder lane ln,30.428,-97.843
1000 w 6th st,600 n lamar blvd,30.272,-97.754
9500 e us hwy 290,not reported,30.33,-97.641
braker ln,not reported,30.396,-97.733
4800 west wind trl,4800 west gate blvd,30.228,-97.802
11135 n n ih 35 svrd nb hwy,braker ln ln,30.375,-97.676
2200 e e ben white to ih 35 nb ramp,woodward st,30.216,-97.741
13200 not reported,12100 roxie dr,30.442,-97.784
n ih 35 svcrd sb hwy,e 15th st,30.275,-97.732
1000 w 12th st,1100 baylor st,30.277,-97.752
2900 n ih 35,e 30th st,30.288,-97.724
1800 e martin luther king jr blvd,1900 salina st,30.28,-97.722
4100 n lamar blvd,1000 w 41st st,30.309,-97.741
7400 n ih 35 hwy,research blvd,30.336,-97.702
5500 westgate blvd,2600 w stassney ln,30.221,-97.807
5000 bolm rd,1000 airport blvd,30.26,-97.694
montopolis dr,e ben white blvd,30.213,-97.712
10000 s mopac expy,5300 la crosse ave,30.389,-97.735
6400 brodie lane,3500 blk allegro lugar,30.218,-97.828
2500 w ben white blvd,w ben white blvd,30.216,-97.736
800 w howard ln,13800 the lakes blvd,30.421,-97.663
300 w riverside dr,400 barton springs rd,30.259,-97.748
9200 northgate blvd,northgate blvd,30.371,-97.716
12200 n fm 620 rd,lake creek pkwy,30.47,-97.791
3405 garden villa ln ln,barton skwy,30.236,-97.769
800 payton gin rd,800 peyton gin rd,30.358,-97.701
3100 n ih 35,1026 e 32nd st,30.289,-97.723
4200 s mopac expy,not reported,30.243,-97.81
5712 link ave,koenig ln,30.323,-97.719
11302 fm 2222 rd,n fm 620 rd,30.401,-97.852
800 w oltorf st,2400 s 4th st,30.243,-97.763
s ih35 svrd sb,e oltorf,30.234,-97.742
918 w bodark ln,7000 s cooper ln,30.195,-97.794
pecan brook dr,tumbleweed dr,30.313,-97.653
8900 research blvd sb,8700 putnam dr,30.37,-97.72
1900 e ben white blvd,woodward st,30.216,-97.745
20 n ih 35 nb hwy,exit ramp e 1st st,30.254,-97.737
2800 s ih 35 nb hwy,e oltorf ave,30.234,-97.741
not reported,lake creek pkwy,30.461,-97.794
4100 n n ih 35 svrd nb hwy,wilshire blvd blvd,30.298,-97.717
slaughter,not reported,30.167,-97.786
8300 w w sh 71 hwy hwy,silvermine dr,30.247,-97.888
1900 n n ih 35 nb hwy,e e martin luther king jr blvd blvd,30.279,-97.731
1500 e anderson svrd wb ln,cameron rd,30.329,-97.679
13600 metric blvd,1100 w howard ln,30.426,-97.678
8800 n mopac expy,8800 n mopac expy,30.338,-97.755
e 5th st,sabine st,30.265,-97.736
80 robert t martinez jr st,canterbury st,30.254,-97.721
2100 braker ln,metric blvd,30.391,-97.714
6730 w us 290 hwy,6400 w william cannon dr,30.234,-97.865
9600 e parmer ln,e us 290 hwy,30.341,-97.579
8728 n n lamar blvd blvd,fairfield dr dr,30.356,-97.701
not reported,not reported,30.139,-97.796
3000 rexford dr dr,gloucester ln ln,30.303,-97.679
1400 n ih 35 svrd nb,700 e 15th st,30.275,-97.731
8984 n captial of texas hwy,great hills trl,30.388,-97.757
1400 s ih 35,elmhurst,30.243,-97.736
5400 w howard ln,13600 mcneil rd,30.442,-97.705
300 e ben white blvd wb,s congress ave,30.22,-97.76
3300 s us 183 hwy,mckinney fales pkwy,30.2,-97.684
8500 balcones club dr dr,oceanaire blvd blvd,30.441,-97.782
700 n ih 35,e 7th st,30.267,-97.734
5809 cameron rd rd,1200 northridge dr dr,30.316,-97.701
6600 loyola ln,johnny morris dr,30.3,-97.648
7605 cameron rd,not reported,30.332,-97.687
2100 s ih 35 fwy,e oltorf st,30.24,-97.737
3900 woodchester ln ln,12900 oak bend dr dr,30.43,-97.71
900 rutland dr,9500 park village dr,30.366,-97.699
4508 s n ih 35 svrd sb hwy,1020 w e 46th st st,30.302,-97.716
1300 s lamar square dr,s lamar blvd,30.255,-97.764
1800 e 38th 12 st,airport blvd,30.311,-97.715
1000 springdale rd,alf ave,30.269,-97.694
5609 s congress,e stassney ln,30.204,-97.775
1615 rutland dr,mountain quail rd,30.37,-97.707
100 e oltorf st,2300 s congress ave,30.239,-97.754
6600 w us 290 hwy,6300 w william cannon dr,30.234,-97.865
15046 calaveras dr,galena dr,30.495,-97.77
900 w w william cannon dr,6700 cooper ln,30.199,-97.791
9200 e us hwy 290 wb,springdale rd rd,30.329,-97.655
e ben white blvd,montopolis dr,30.213,-97.712
700 e ben white,not reported,30.216,-97.753
1600 wells branch pkwy,not reported,30.441,-97.668
airport blvd,e 45th st,30.304,-97.716
4200 southwest pkwy,mopac sb,30.245,-97.843
2000 n n ih 35 sb,e e martin luther king jr blvd blvd,30.28,-97.73
200 w ben white blvd,s congress ave,30.223,-97.764
3400 w slaughter ln,brodie ln,30.184,-97.85
11500 n research blvd,thunder creek dr,30.411,-97.746
1000 e 51st st,5000 harmon ave,30.31,-97.712
11400 n ih 35 sb,e braker ln,30.384,-97.674
airport blvd,bolm rd,30.26,-97.694
10000 n ih35,700 e rundberg ln,30.361,-97.686
907 e st johns ave,not reported,30.333,-97.704
3300 n lamar blvd,900 w 34th st,30.303,-97.745
not reported,woodland ave,30.24,-97.737
s lakeshore dr,s pleasant valley rd,30.242,-97.717
12000 n ih 35 svrd sb,500 e braker ln,30.377,-97.677
10100 diamondback trl trl,brownie dr dr,30.366,-97.683
6700 ed bluestein blvd,manor rd,30.315,-97.663
8700 n n fm 620 rd,10200 boulder ln,30.427,-97.843
1200 corona dr,cameron rd,30.313,-97.705
12900 s ih 35,11200 s s ih 35,30.414,-97.676
9600 research sb proper,n capital of texas hwy overpass,30.388,-97.745
2200 s ih 35 svrd,e oltorf,30.234,-97.741
9900 anderson ln,swallow dr,30.462,-97.751
e parmer ln,dessau rd,30.388,-97.65
8500 n lamar blvd,beaver st,30.354,-97.704
700 w 6th st,rio grande st,30.27,-97.75
6300 sw us 290 hwy,joe tanner,30.236,-97.859
8200 reasearch blvd svrd nb,jamestown dr,30.354,-97.717
1200 rutland dr,9400 parkfield dr,30.369,-97.705
1600 slaughter ln,9000 9500,30.16,-97.777
9000 n research blvd,1700 w ohlen rd,30.371,-97.724
6306 e riverside dr,montopolis dr,30.225,-97.703
11500 research blvd nb,research nb to thunder cr ramp,30.411,-97.746
11700 n us 183 nb hwy,5500 duval rd,30.419,-97.748
6700 w us hwy 290,not reported,30.234,-97.873
burleson rd,chapman ln,30.212,-97.73
2900 s 1st st,509 powell cir,30.235,-97.764
1515 wickersham ln,elmont st,30.235,-97.719
not reported,old san antonio rd,30.153,-97.791
1800 s i h 35 fwy,e riverside overpass dr,30.245,-97.735
5500 cameron rd,corona dr,30.313,-97.705
1500 trinity st,e 15th st,30.276,-97.736
7200 not reported,convict hill rd,30.23,-97.88
244 w slaughter ln,9200 alice mae,30.168,-97.793
8000 n lamar blvd,research blvd,30.35,-97.71
2200 san gabriel st,1000 w 23rd st,30.287,-97.748
loyola ln,crystal brook dr,30.303,-97.654
11100 burnet rd,kramer ln,30.396,-97.72
12100 brodie ln,yandall dr,30.155,-97.859
12900 mc callen pass,e e parmer ln ln,30.407,-97.663
13150 burnet rd,scofield ridge pkwy,30.431,-97.701
w 6th st,rio grande st,30.27,-97.75
1201 peyton gin rd,n lamar blvd,30.362,-97.708
6200 ed bluestein sb blvd,loyola ln,30.301,-97.662
1500 e martin luther king jr blvd,1900 comal st,30.279,-97.725
300 w 2nd st,guadalupe st,30.265,-97.748
3200 garden villa ln,900 garden villa ct,30.236,-97.769
12080 not reported,not reported,30.373,-97.679
9100 n research blvd,not reported,30.379,-97.738
8800 n capitol of texas hwy,great hilld trl,30.388,-97.76
3800 s s capital of texas hwy nb hwy,west gate blvd blvd,30.242,-97.802
2400 n ih 35 sb,e dean keeton st,30.286,-97.726
6700 n i 35 hwy,la pasada cv,30.326,-97.706
399 ed bluestein nb blvd,levander loop,30.251,-97.686
5700 s ih 35 sb,e william cannon dr,30.192,-97.77
3800 n n lamar blvd,1000 w 38th st,30.305,-97.743
10 n ih 35 sb,e riverside rd,30.251,-97.736
n not reported,lakeline blvd,30.48,-97.803
3000 s capital of texas sb hwy,not reported,30.251,-97.807
5900 westminster dr,briarcliff blvd,30.313,-97.691
e 8th st,congress ave,30.27,-97.742
1600 edgewood,3200 breeze terrace,30.288,-97.717
1800 san jacinto blvd,300 e 18 st,30.279,-97.736
7100 s ih 35 sb,100 w slaughter ln,30.153,-97.792
900 w cesar chavez st,100 br reynolds dr,30.267,-97.757
9300 research blvd,not reported,30.382,-97.741
1100 s ih 35 svrd,e riverside dr,30.248,-97.736
800 e e martin luther king jr blvd blvd,not reported,30.279,-97.729
9900 n lamar blvd,ken st,30.37,-97.693
4132 spicewood springs rd,spicewood ln,30.37,-97.755
200 w 15th st,1500 colorado st,30.277,-97.741
2000 n ih 35 nb,1000 n manor rd,30.277,-97.731
1000 park plz dr,north plz dr,30.35,-97.689
3800 s 1st st,ft mcgruder ln,30.228,-97.769
6500 metropolis dr,6700 burleson rd,30.202,-97.71
1910 montana sky dr,1900 chasewood dr,30.427,-97.683
7800 cameron rd,w anderson ln,30.332,-97.687
2300 cedar bend dr,12200 renfert way,30.413,-97.704
4100 mcneil rd,mcneil dr,30.438,-97.708
5400 w us 290 svrd wb,4500 monterey oaks blvd,30.294,-97.72
e william cannon dr,running water dr,30.167,-97.737
n n capital of texas hwy,not reported,30.359,-97.791
811 w slaughter ln,simonetti dr,30.174,-97.804
8009 via verde dr,via grande dr,30.201,-97.916
5901 e stassney ln,teri rd,30.191,-97.732
w william cannon dr dr,not reported,30.197,-97.788
11200 powder mill trl,11200 timberbrook trl,30.461,-97.811
5900 burnet rd rd,w w koenig ln ln,30.335,-97.74
2600 s ih 35 np hwy,royal hill dr,30.23,-97.744
100 n ih 35 sb,700 e e cesar chavez st,30.261,-97.737
e e 38th half st,red river st,30.296,-97.723
7200 stonleigh pl,2400 lendall ln,30.178,-97.763
e e 7th st st,webberville rd rd,30.261,-97.717
500 e ben white blvd,4000 payload pass,30.227,-97.768
6100 s ih 35 sb hwy,e stassney ln,30.197,-97.765
2500 w stassney ln,5500 buffalo pass,30.218,-97.804
not reported,not reported,30.222,-97.683
714 e 8th st,not reported,30.268,-97.734
9500 s ih 35 svrd,e slaughter ln,30.14,-97.796
4600 w william cannon dr,6700 brush country rd,30.223,-97.842
600 s capital of texas hwy,las cimas pkwy pkwy,30.293,-97.829
1700 nelms dr,6200 sneed cv,30.193,-97.764
500 w slaughter ln,s 1st st,30.172,-97.799
60 robert martinez jr st,holly st,30.252,-97.722
w w 38th st st,n n lamar blvd blvd,30.305,-97.743
13800 n us 183 hwy,pecan park,30.463,-97.796
2363 east side dr,600 e oltorf st,30.237,-97.749
1000 w rundberg ln,1000 mearns meadow blvd,30.365,-97.702
14700 n ih 35 sb,wells branch pkwy,30.434,-97.67
w parmer lane ln,scofield farms drive,30.411,-97.687
13400 s n 183 nb at anderson mill trn rd,9600 anderson mill rd,30.446,-97.788
7300 manor rd,ed bluestein blvd,30.315,-97.664
100 e e 5th st st,brozos st st,30.267,-97.742
6100 e 290 svrd wb to ih 35 nb svrd hwy,not reported,30.217,-97.752
not reported,terry ln,30.206,-97.646
13900 balcones club dr,8600 oceanaire blvd,30.439,-97.782
e 5th st,waller st,30.264,-97.731
5000 w us hwy 290 w hwy,not reported,30.235,-97.823
8200 n fm 620 rd,rock harbour dr,30.419,-97.847
1600 e ben white blvd,not reported,30.216,-97.751
400 w slaughter ln,francia trl,30.169,-97.796
6837 w us 290 hwy,6846 old bee caves rd,30.234,-97.871
4900 lancaster dr,dell childrens hospital access private drive st,30.306,-97.708
2500 e e anderson ln svrd wb rd,2300 ridgepoint dr dr,30.327,-97.674
4700 s congress ave,120 sheraton ave,30.218,-97.767
loyola ln,colony loop dr,30.298,-97.642
8184 e ben white blvd,not reported,30.222,-97.683
w 35th st,hillview rd,30.312,-97.764
8700 n capital of texas hwy,great hills trl,30.388,-97.759
11600 anderson mill rd,not reported,30.453,-97.823
4400 burleson rd,e ben white blvd,30.216,-97.734
500 s 1st st,600 barton springs rd,30.245,-97.757
1500 burton dr dr,e riverside dr,30.258,-97.749
9200 fm 969 rd,park at woodlands,30.272,-97.633
3100 w slaughter ln,w westgate blvd,30.18,-97.843
9301 independence loop,texas oaks dr,30.177,-97.812
11650 research blvd,thunder creek,30.417,-97.747
1500 n ih 35 nb svrd,600 e 15th st,30.275,-97.731
4900 fort clark dr,600 westmorland dr,30.207,-97.765
6400 not reported,escarpment blvd,30.182,-97.9
1500 w parmer ln,willow wild dr,30.411,-97.685
10500 w w parmer ln ln,14900 avery ranch blvd blvd,30.497,-97.775
n pleasant valley rd,e 7th st,30.26,-97.709
w 12th st,rio grande st,30.276,-97.747
3300 northland dr,not reported,30.337,-97.756
12000 s ih 35,e fm 1626 rd,30.131,-97.8
2100 w w slaughter ln ln,2200 riddle rd,30.174,-97.827
5800 w slaughter ln,escarpment blvd,30.201,-97.878
manchaca rd,monarch dr,30.176,-97.823
10207 lake creek pkwy,lake creek pkwy,30.461,-97.793
6900 s not reported rd,mcangus rd,30.159,-97.665
1600 guadalupe st,300 w 16th st,30.279,-97.743
5500 e oltorf st,2800 alvin devane blvd,30.219,-97.719
n n us 183 hwy svrd sb hwy,pecan park blvd blvd,30.465,-97.796
davis ln,latta dr,30.204,-97.859
700 e 45th st,caswell ave,30.305,-97.721
8301 tuscany way,e us 290 hwy wb,30.329,-97.659
s mopac expy,s capital of tx hwy,30.39,-97.734
n lamar blvd,e st johns ave,30.339,-97.718
1800 e oltorf st,burleson rd,30.231,-97.736
2400 w slaughter ln,s woodard dr,30.175,-97.828
700 not reported,s congress ave,30.225,-97.766
10108 n ih 35 svrd sb,10100 diamondback trl,30.366,-97.683
13000 not reported,oak knoll dr,30.438,-97.777
7600 s ih 35 sb fwy,e e slaughter ln,30.173,-97.782
7500 n lamar blvd,morrow st south curbline,30.342,-97.716
10107 woodstock dr,warrington dr,30.362,-97.677
11800 s ih 35,2200 onion creek pkwy,30.144,-97.795
4800 w braker ln,10900 research svrd nb blvd,30.401,-97.746
6500 ed bluestein nb blvd,loyola ln,30.305,-97.661
5500 southwest pkwy pkwy,foster ranch rd rd,30.247,-97.844
6100 atwood st,kemp st,30.24,-97.697
14500 n ih35 hwy,not reported,30.435,-97.67
e 51st st,harmon ave,30.31,-97.712
3400 n mopac nb,1900 w 35th st,30.26,-97.733
11222 n n lamar blvd blvd,800 w w braker ln ln,30.382,-97.687
burnet rd,rutland dr,30.383,-97.724
703 herndon ln,s 1st st,30.24,-97.762
500 w 6th st,nueces st,30.27,-97.748
4300 springdale rd rd,e e martin luther king jr blvd blvd,30.286,-97.683
not reported,rutherford ln,30.344,-97.697
1100 wayside dr,w 12th st,30.276,-97.748
4700 s us 183 sb,8300 burleson rd,30.183,-97.688
woodland ave,willow creek dr,30.235,-97.727
50 ih 35 svrd sb hwy,e e riverside dr dr,30.294,-97.72
1500 san jacinto blvd,300 e 15th st,30.276,-97.737
w 6th st,nueces st,30.27,-97.748
7th st,neches st,30.268,-97.739
4500 turnstone dr,turtle dove dr,30.188,-97.749
1700 w koenig ln,5900 arroyo seco,30.332,-97.735
ed bluestein sb blvd,loyola ln,30.303,-97.661
2000 cedar ave,givens ave,30.282,-97.715
4800 manchaca rd,frontier trl,30.224,-97.792
7900 s ih35,200 e slaughter ln,30.174,-97.782
6600 s s mopac expy nb expy,w w william cannon dr dr,30.221,-97.837
6000 w parmer ln,mcneil rd,30.443,-97.742
12400 not reported,e parmer ln,30.404,-97.675
n lamar blvd,sandra muraida way,30.232,-97.801
700 e 7th st,not reported,30.267,-97.735
3500 willow springs rd,300 e alpine rd,30.225,-97.758
4900 loop 1mopac expy,1000 sw south west pkwy pkwy,30.239,-97.822
12100 metric blvd,bittern hollow,30.403,-97.7
10500 lake creek pkwy,12300 bainbridge ln,30.458,-97.801
11300 lakeline blvd,not reported,30.48,-97.802
7900 shoal creek blvd,w anderson ln,30.36,-97.741
500 w oltorf st,2400 s 1st st,30.243,-97.761
8200 n mopac expy,3500 steck to mopac svrd nb ramp ave,30.368,-97.742
5400 freidrich ln,teri lane,30.204,-97.753
7655 n fm 620 rd,zimmerman ln,30.411,-97.85
6200 e e ben white svrd wb blvd,3000 montopolis dr,30.213,-97.713
11900 not reported expy,2900 duval dr,30.408,-97.716
banister ln,garden villa,30.229,-97.774
11700 n research blvd,duval rd,30.419,-97.748
mcneil dr,parmer ln,30.444,-97.743
2408 san gabriel,24th st,30.289,-97.748
13300 n 183 hwy svrd sb,balcones club dr,30.445,-97.788
15000 183a,12900 avery ranch rd,30.488,-97.804
9500 oriole dr dr,9600 rock hollow ln dr,30.361,-97.69
7610 cameron rd,cameron rd,30.331,-97.688
6500 south first st,600 w william cannon,30.198,-97.787
6400 manchaca rd,berkeley ave,30.208,-97.805
n not reported,e martin luther king jr blvd rd,30.279,-97.73
8400 tuscany way way,not reported,30.331,-97.66
30th st,speedway,30.293,-97.736
5600 n mopac expy,not reported,30.335,-97.756
80 chicon st,garden st,30.255,-97.725
11724 research svrd sb blvd,duval rd,30.42,-97.747
100 chalmers ave,1700 e 2nd st,30.259,-97.726
4700 blue meadow dr dr,meadow lake blvd blvd,30.178,-97.756
1400 e 6th st,500 navasota st,30.264,-97.728
not reported,mc neil dr,30.434,-97.769
200 w 11th st,1100 n lavaca st,30.273,-97.743
2200 e riverside dr,burton dr,30.241,-97.727
9900 decker lake rd,imperial dr,30.285,-97.618
6400 not reported,w william cannon dr,30.234,-97.868
7200 wood hollow dr,far west blvdgreystone dr,30.355,-97.752
12300 n research blvd,pavilion blvd,30.427,-97.756
4400 n 35 hwy,4400 n ih 35 nb svrd rd,30.392,-97.675
5300 n mopac expy nb,3200 northland dr,30.334,-97.756
900 w parmer ln,n i35 ef,30.408,-97.676
1700 e william cannon dr,6500 bluff springs rd,30.189,-97.768
11600 n us 183 hwy,800 duval rd,30.416,-97.747
6700 meadow lake blvd,lambs ln,30.179,-97.752
enfield rd,exposition blvd,30.291,-97.772
8000 n andderson square rd,not reported,30.352,-97.717
8200 cameron rd,park center dr,30.338,-97.683
2600 bee caves rd,not reported,30.266,-97.783
7900 burnet rd,w anderson ln,30.357,-97.731
5600 fm 973,6000 elroy,30.169,-97.657
600 w 24th st,2400 rio grande st,30.288,-97.745
4300 s ih 35 hwy,1200 e ben white blvd,30.213,-97.753
8900 n n capital of texas hwy sb hwy,great hills trl trl,30.388,-97.76
3000 montopolis dr,e ben white blvd,30.213,-97.712
9600 not reported,e slaughter ln,30.164,-97.788
5500 n mopac expy,not reported,30.337,-97.755
3000 s 1st st,powell cir,30.235,-97.764
montopolis dr,e riverside dr,30.225,-97.703
15000 not reported,wells branch pkwy,30.437,-97.669
600 n n ih 35 svrd sb hwy,not reported,30.266,-97.735
1600 w 5th st,west lynn st,30.274,-97.763
1000 s lamar blvd,1300 treadwell st,30.256,-97.762
2000 s ih 35 svrd nb,woodland dr,30.24,-97.737
2800 not reported,lyle rd,30.209,-97.651
13800 burnet rd,3300 w wells branch pkwy,30.44,-97.698
w 38th st,guadalupe st,30.303,-97.738
brodie ln,silk oak dr,30.191,-97.845
research blvd svrd nb,n lamar blvd,30.348,-97.712
8700 brodie ln,davis ln,30.198,-97.84
812 w howard ln,s heatherwilde blvd,30.421,-97.664
1520 e sh 71 eb,not reported,30.223,-97.682
e riverside st,willow creek dr,30.238,-97.726
7318 fm 620,four points,30.405,-97.853
balcones dr,northland dr,30.337,-97.757
pleasant valley rd,willow st,30.252,-97.713
9400 n ih 35,725 e rundberg ln,30.358,-97.688
10100 n ih 35 svc rd hwy,10100 diamondback trl,30.366,-97.683
2600 w anderson ln,burnet rd,30.357,-97.734
600 barton springs rd,s 1st st,30.259,-97.751
13300 not reported,e howard ln,30.422,-97.672
not reported hwy,wildridge dr,30.389,-97.75
7700 brodie ln,harper ferry,30.207,-97.835
1700 e stassney ln,conestoga trl,30.197,-97.76
8800 nuckols crossing rd,8600 vortex blvd,30.16,-97.76
2700 canterbury st,pleasant valley rd,30.252,-97.715
research blvd,burnet rd,30.37,-97.721
7700 n n capital of texas hwy,7200 lakewood dr,30.376,-97.781
5100 cameron rd rd,e e 51st st st,30.309,-97.71
7800 n ih 35 fwy,not reported,30.339,-97.7
2900 s capital of texas hwy,barton creek square dr,30.253,-97.809
8000 n lamar blvd,7800 n research blvd svrd nb blvd,30.351,-97.709
3000 montopolis,6200 e oltorf,30.215,-97.71
not reported,not reported,30.468,-97.797
1200 west ave,700 w 12th st,30.276,-97.748
7000 n mopac expy,far west blvd,30.354,-97.75
4800 fm 2222 rd,westlope cir,30.342,-97.783
w slaughter ln,manchaca rd,30.174,-97.824
7900 e 71,7600 e riverside dr,30.217,-97.695
2300 e riverside dr,1600 willow creek dr,30.238,-97.726
3500 w braker ln,burnet rd,30.391,-97.714
700 n pleasant valley rd,2700 e 7th st,30.26,-97.709
4100 s s ih 35 svrd nb hwy,e e ben white blvd svrd eb blvd,30.215,-97.752
dessau rd,dungan ln,30.352,-97.675
5000 shoal creek blvd,2400 hancock dr,30.326,-97.745
8900 n burnet rd,s burnet,30.374,-97.728
900 fairfield dr,delaware ct,30.357,-97.705
n ih 35 nb,e 6th st st,30.266,-97.734
